age,qx,px,lx,dx,Lx,Tx,ex
0,0.00500396388401107,0.994996036115989,100000,500.396388401107,99749.80180579945,7757223.625212603,77.57223625212603
1,3.468707342649494e-4,0.999653129265735,99499.6036115989,34.51350056382672,99482.34686131698,7657473.823406803,76.95984250648968
2,2.092355857031046e-4,0.9997907644142969,99465.09011103507,20.8116363863945,99454.68429284188,7557991.476545487,75.98637339098909
3,1.6362804277850643e-4,0.9998363719572215,99444.27847464867,16.27187265232752,99436.14253832251,7458536.792252645,75.00217113198775
4,1.3408406919345142e-4,0.9998659159308065,99428.00660199634,13.331711716989023,99421.34074613784,7359100.649714323,74.01436377149057
5,1.2455003123918132e-4,0.9998754499687608,99414.67489027935,12.382100863217348,99408.48383984773,7259679.3089681845,73.024222198387207
6,1.1403721787879574e-4,0.9998859627821212,99402.29278941613,11.335560920478494,99396.62500895589,7160270.825128336,72.033256217715
7,9.96652062662973e-5,0.9999003347937337,99390.95722849564,9.90582025318275,99386.00431836906,7060874.200119381,71.0414146015993
8,9.262657244933352e-5,0.9999073734275506,99381.05140824246,9.20532615835651,99376.44874516327,6961488.195801012,70.0484458270044
9,9.754988872273004e-5,0.9999024501112773,99371.8460820841,9.69371252747956,99366.99922582036,6862111.747055849,69.05488845791936
10,9.501488566542092e-5,0.9999049851143346,99362.15236955663,9.440883546863555,99357.4319277832,6762744.747830029,68.06157663209048
11,1.0335292488777431e-4,0.9998966470751123,99352.71148600976,10.26839332761028,99347.57728934597,6663387.315902245,67.06799659756183
12,1.2144364431974072e-4,0.9998785563556802,99342.44309268217,12.064508324801777,99336.41083851976,6564039.7386129,66.07487730585544
13,1.4347033689577195e-4,0.9998565296631042,99330.37858435736,14.250962879482321,99323.25310291762,6464703.327774379,65.08284192518367
14,1.5891552903911528e-4,0.9998410844709609,99316.12762147788,15.782874963083447,99308.23618399634,6365380.074671462,64.09210897681939
15,1.872184086044212e-4,0.9998127815913955,99300.34474651479,18.590852517312896,99291.04932025613,6266071.838487466,63.10221635667977
16,2.1875330280618705e-4,0.9997812466971938,99281.75389399748,21.71821157270297,99270.89478821112,6166780.7891672095,62.1139388386656
17,2.625781330054309e-4,0.9997374218669945,99260.03568242477,26.063514851543548,99247.00392499901,6067509.894378998,61.12742004034285
18,3.64780973024447e-4,0.9996352190269756,99233.97216757323,36.19866492436826,99215.87283511105,5968262.890453999,60.14334365629932
19,3.6678948127175743e-4,0.9996332105187282,99197.77350264887,36.384699886349864,99179.58115270568,5869047.017618888,59.165108352579786
20,4.126440659770414e-4,0.9995873559340229,99161.3888027625,40.91835866350219,99140.92962343075,5769867.436466183,58.186633992619534
21,4.542765836679439e-4,0.9995457234163321,99120.470444099,45.0281086849047,99097.95638975655,5670726.506842752,57.210447866476514
22,4.625676736982024e-4,0.9995374323263018,99075.4423354141,45.8290968817129,99052.52778697325,5571628.550452995,56.236221803487624
23,5.505013005416329e-4,0.9994494986994583,99029.61323853239,54.515930879946985,99002.35527309241,5472576.022666022,55.26201550928248
24,5.422130135737836e-4,0.9994577869864262,98975.09730765244,53.665585779940706,98948.26451476247,5373573.667392929,54.292178674902516
25,5.74280285829826e-4,0.9994257197141702,98921.43172187249,56.80862808393255,98893.02740783052,5274625.402878167,53.321361317417086
26,6.190615739128343e-4,0.9993809384260872,98864.62309378856,61.203289176739894,98834.0214492002,5175732.3754703365,52.35171301427352
27,6.568367451512346e-4,0.9993431632548487,98803.41980461183,64.89771667427226,98770.9709462747,5076898.354021137,51.3838323011585
28,6.87799459984478e-4,0.9993122005400156,98738.52208793756,67.9123021717489,98704.5659368517,4978127.383074862,50.4172766394183
29,7.26438604105329e-4,0.9992735613958946,98670.60978576582,71.67814003899333,98634.77071574632,4879422.81713801,49.451633345858916
30,8.277916305075964e-4,0.9991722083694924,98598.93164572681,81.61937039332324,98558.12196053014,4780788.046422264,48.487219553250185
31,8.748374594323957e-4,0.9991251625405676,98517.31227533349,86.18663518106072,98474.21895774297,4682229.924461734,47.52697588192383
32,9.14000107259792e-4,0.9990859998927402,98431.12564015243,89.96605939280138,98386.14261045602,4583755.705503991,46.5681528651966
33,0.00103804505928456,0.9989619549407155,98341.15958075962,102.08255482712198,98290.11830334605,4485369.562893534,45.61029768222393
34,9.98697351280938e-4,0.9990013026487191,98239.07702593249,98.11110601808282,98190.02147292346,4387079.444590189,44.65717286240501
35,0.0010832102870996,0.9989167897129004,98140.96591991441,106.30730387034254,98087.81226797923,4288889.423117265,43.701316600216785
36,0.00113338553998118,0.9988666144600188,98034.65861604406,111.11106449241574,97979.10308379785,4190801.6108492855,42.74816345577023
37,0.00120451864205889,0.9987954813579412,97923.54755155164,117.95073852238411,97864.57218229046,4092822.507765488,41.796101245319264
38,0.00134309301893084,0.9986569069810691,97805.59681302926,131.362014291944,97739.91580588328,3994957.9355831975,40.84590315644396
39,0.00140654500692526,0.9985934549930747,97674.2347987373,137.38320726140944,97605.5431951066,3897218.0197773143,39.900164335126135
40,0.00146260899132926,0.9985373910086708,97536.85159147589,142.6582761236403,97465.52245341407,3799612.4765822073,38.95566049739368
41,0.00152123688298513,0.9984787631170149,97394.19331535226,148.15963905989764,97320.1134958223,3702146.9541287934,38.011988478015596
42,0.00156631073387351,0.9984336892661265,97246.03367629235,152.31750637380154,97169.87492310545,3604826.840632971,37.069140039505726
43,0.00173644120240051,0.9982635587975995,97093.71616991855,168.5975292516272,97009.41740529274,3507656.9657098656,36.12650853296522
44,0.00178770759221612,0.9982122924077839,96925.11864066693,173.27377047036845,96838.48175543174,3410647.5483045727,35.1884794791839
45,0.00199285956508072,0.9980071404349192,96751.84487019655,192.8128394887772,96655.43845045217,3313809.066549141,34.25060339671029
46,0.00216286291783963,0.9978371370821604,96559.03203070778,208.8439497617069,96454.61005582692,3217153.628098689,33.317997917331724
47,0.00233143041975977,0.9976685695802402,96350.18808094607,224.6337594414929,96237.87120122532,3120699.018042862,32.38913260263788
48,0.00255622236274834,0.9974437776372517,96125.55432150458,245.71829158821032,96002.69517571047,3024461.146841637,31.463653637053973
49,0.00271560338729284,0.9972843966127072,95879.83602991636,260.371607495923,95749.65022616839,2928458.4516659263,30.543006464385176
50,0.00299875048039876,0.9970012495196012,95619.46442242044,286.73891487220544,95476.09496498434,2832708.801439758,29.624813509994485
51,0.00322817712803211,0.9967718228719679,95332.72550754824,307.75092403643055,95178.85004553002,2737232.7064747736,28.712414251264068
52,0.00353291890517386,0.9964670810948262,95024.97458351181,335.7155291697544,94857.11681892694,2642053.8564292435,27.80378387901908
53,0.00389015664131914,0.9961098433586809,94689.25905434205,368.35604997183725,94505.08102935614,2547196.7396103167,26.9005879341445
54,0.00419086388933892,0.9958091361106611,94320.90300437022,395.286066410854,94123.2599711648,2452691.6585809602,26.00369144544045
55,0.00458609580152518,0.9954139041984749,93925.61693795938,430.7518774948378,93710.24099921196,2358568.3986097956,25.11102376008559
56,0.00499710853784148,0.9950028914621585,93494.86506046454,467.2039884379844,93261.26306624553,2264858.1576105836,24.224412283453916
57,0.00552185744578788,0.9944781425542121,93027.66107202655,513.6854829548012,92770.81833054914,2171596.8945443383,23.3435611464313
58,0.0059469969855686,0.9940530030144314,92513.97558907174,550.1803339511766,92238.88542209615,2078826.076213789,22.47040042303999
59,0.00625538156506917,0.9937446184349308,91963.79525512057,575.2686294926768,91676.16094037422,1986587.1907916928,21.601839998888902
60,0.00699595361061388,0.9930040463893861,91388.52662562788,639.3498928152441,91068.85167922027,1894911.0298513186,20.734670968203712
61,0.0074711243171129,0.9925288756828871,90749.17673281264,677.9983810464928,90410.1775422894,1803842.1781720985,19.877229117824868
62,0.00799889167253541,0.9920011083274646,90071.17835176615,720.469598453394,89710.94355253945,1713432.000629809,19.0230885393564
63,0.00853344534566744,0.9914665546543325,89350.70875331276,762.4693897430437,88969.47405844124,1623721.0570772695,18.172447423558555
64,0.00903869492135794,0.9909613050786421,88588.23936356972,800.7220692275391,88187.87832895597,1534751.5830188282,17.324552266132592
65,0.00956523529645148,0.9904347647035485,87787.5172943422,839.7082590116867,87367.66316483635,1446563.7046898722,16.478011330924172
66,0.01034019248963394,0.9896598075103661,86947.8090353305,899.0570819772505,86498.28049434187,1359196.0415250359,15.632320775015023
67,0.01115065333604853,0.9888493466639515,86048.75195335325,959.4998030314708,85569.00205183751,1272697.761030694,14.790426730658679
68,0.01207906830003828,0.9879209316999618,85089.25215032179,1027.798888322916,84575.35270616034,1187128.7589788565,13.951571191172668
69,0.0130713331385634,0.9869286668614367,84061.45326199887,1098.7952596993644,83512.05563214919,1102553.4062726963,13.116040271589268
70,0.0145839205438485,0.9854160794561515,82962.65800229952,1209.920812412013,82357.69759609351,1019041.350640547,12.283132859753621
71,0.01614791482698662,0.9838520851730134,81752.7371898875,1320.136237015325,81092.66907137985,936683.6530444536,11.457520386978771
72,0.0172290626837146,0.9827709373162854,80432.60095287218,1385.7783236312373,79739.71179105656,855590.9839730737,10.637365618381402
73,0.02007443266527052,0.9799255673347295,79046.82262924094,1586.8201182742791,78253.4125701038,775851.2721820171,9.815084862057628
74,0.02106609043937869,0.9789339095606213,77460.00251096666,1631.779418330524,76644.1128018014,697597.8596119133,9.00591062481761
75,0.02381123030662657,0.9761887696933734,75828.22309263614,1805.5632838010183,74925.44145073563,620953.7468101119,8.188952892269663
76,0.02593250852136125,0.9740674914786388,74022.65980883512,1919.5932562664416,73062.8631807019,546028.3053593764,7.376502097729324
77,0.0288668987277662,0.9711331012722338,72103.06655256868,2081.3919201343865,71062.37059250148,472965.4421786744,6.55957457556741
78,0.03186498266272627,0.9681350173372737,70021.6746324343,2231.2394481775787,68906.05490834551,401903.0715861729,5.739695225741001
79,0.03529752167284301,0.9647024783271569,67790.43518425671,2392.8343551277603,66594.01800669283,332997.0166778274,4.912153400000017
80,0.0397828387282959,0.9602171612717041,65397.60082912895,2601.702207002707,64096.7497256276,266402.9986711346,4.0735897845426035
81,0.04397008678790832,0.9560299132120916,62795.89862212624,2761.1411123395833,61415.32806595645,202306.248945507,3.221647486293381
82,0.04989693603046501,0.950103063969535,60034.75750978665,2995.550455070303,58536.9822822515,140890.92087955054,2.346822519547664
83,0.05618717633471182,0.9438128236652882,57039.20705471635,3204.871984775486,55436.77106232861,82353.93859729904,1.443812823665288
84,0.06144828350997259,0.9385517164900274,53834.33506994087,3308.027483948587,26917.167534970435,26917.167534970435,0.5
